Date,Category,SubCategory,Question_Or_Word,Answer_Or_Definition,Extra_Tags_Or_Notes
"2026-03-25","英语","核心词汇","abandon","[əˈbændən] v. 放弃，抛弃；n. 放纵","a-词缀 + band(绑定) -> 不绑定 -> 放弃"
"2026-03-25","英语","核心词汇","abnormal","[æbˈnɔːml] adj. 反常的，变态的","ab(偏离) + normal(正常)"
"2026-03-25","英语","核心词汇","abolish","[əˈbɒlɪʃ] v. 废除，废止(法律/制度)","abolish the old system (废除旧制)"
"2026-03-25","英语","核心词汇","abrupt","[əˈbrʌpt] adj. 突然的，意外的，唐突的","ab + rupt(断裂) -> 突然断开"
"2026-03-25","英语","核心词汇","abstract","[ˈæbstrækt] adj. 抽象的；n. 摘要","abs(离开) + tract(拉) -> 抽离出来"
"2026-03-25","英语","核心词汇","absurd","[əbˈsɜːd] adj. 荒谬的，可笑的","ab + surd(聋的) -> 荒谬"
"2026-03-25","英语","核心词汇","accelerate","[əkˈseləreɪt] v. 加速，促进","ac(加强) + celer(速度)"
"2026-03-25","英语","核心词汇","access","[ˈækses] n. 接近，入口；v. 存取","have access to (有权访问)"
"2026-03-25","英语","核心词汇","accommodate","[əˈkɒmədeɪt] v. 容纳，提供住宿，适应","ac + com(共同) + mod(模式) -> 适应"
"2026-03-25","英语","核心词汇","accumulate","[əˈkjuːmjəleɪt] v. 积累，堆积","ac(加强) + cumul(堆积)"
"2026-03-25","英语","核心词汇","accuse","[əˈkjuːz] v. 控告，谴责","accuse sb of sth (控告某人某事)"
"2026-03-25","英语","核心词汇","acknowledge","[əkˈnɒlɪdʒ] v. 承认；致谢","ac + knowledge(知道) -> 承认"
"2026-03-25","英语","核心词汇","acquire","[əˈkwaɪə(r)] v. 获得，取得","acquire knowledge (获取知识)"
"2026-03-25","英语","核心词汇","adapt","[əˈdæpt] v. 适应，改编","adapt to the environment"
"2026-03-25","英语","核心词汇","adequate","[ˈædɪkwət] adj. 充足的，足够的","ad(ad) + equ(平等) -> 刚好满足"
"2026-03-25","英语","核心词汇","advocate","[ˈædvəkət] v. 提倡，主张；n. 拥护者","ad + voc(喊叫) -> 呼吁提倡"
"2026-03-25","英语","核心词汇","aesthetic","[iːsˈθetɪk] adj. 美学的，审美的","aesthetic appeal (美学吸引力)"
"2026-03-25","英语","核心词汇","agitate","[ˈædʒɪteɪt] v. 煽动，使不安","ag(做，动) -> 弄动 -> 煽动"
"2026-03-25","英语","核心词汇","alienate","[ˈeɪliəneɪt] v. 使疏远，离间","alien(外星人/外人) -> 当外人对待"
"2026-03-25","英语","核心词汇","alleviate","[əˈliːvieɪt] v. 减轻，缓解(痛苦等)","al + lev(轻) -> 使得变轻 -> 缓解"
"2026-03-25","408","数据结构","常见时间复杂度的大小排序是怎样的？","O(1) < O(log N) < O(N) < O(N log N) < O(N^2) < O(N^3) < O(2^N) < O(N!) < O(N^N)","必考排序"
"2026-03-25","408","数据结构","递归调用的空间复杂度主要取决于什么？","取决于递归调用栈的深度。例如二叉树前序遍历最坏情况下退化为链表，深度为N，空间复杂度为O(N)。","大题常考坑点"
"2026-03-25","408","数据结构","顺序表和链表在逻辑结构与物理结构上的区别？","逻辑结构上均是线性结构！物理层面：顺序表物理连续，链表物理可分散。","基础概念辨析"
"2026-03-25","八股文","计算机网络","简述 OSI 七层模型，并说出各自的作用？","1.物理(比特流); 2.链路(帧); 3.网络(包); 4.传输(段); 5.会话; 6.表示; 7.应用。","口诀：物链网传会表应"
"2026-03-25","八股文","计算机网络","常见的应用层协议有哪些？底层基于TCP还是UDP？","基于TCP: HTTP(80), HTTPS(443), FTP(20), SMTP(25); 基于UDP: DNS(53), DHCP(67), TFTP(69)。","重点记忆端口号映射"
"2026-03-25","八股文","计算机网络","ARP 协议的作用是什么？它的工作流程？","已知目标IP找MAC。查缓存->局域网内广播请求->单播返回应答。","广播与单播的区别"
"2026-03-26","英语","核心词汇","alternate","[ɔːlˈtɜːnət] v. 交替 / adj. 间隔的","alter(改变) -> 时刻改变 -> 交替"
"2026-03-26","英语","核心词汇","ambiguous","[æmˈbɪɡjuəs] adj. 模棱两可的","ambi(两) + ag(做) -> 两边做，含糊"
"2026-03-26","英语","核心词汇","ambitious","[æmˈbɪʃəs] adj. 有野心的，雄心勃勃的","ambition (野心)"
"2026-03-26","英语","核心词汇","anonymous","[əˈnɒnɪməs] adj. 匿名的，无名的","an(无) + onym(名字) -> 匿名"
"2026-03-26","英语","核心词汇","anticipate","[ænˈtɪsɪpeɪt] v. 预期，预料，期盼","anti(前) + cip(拿) -> 提前拿到"
"2026-03-26","英语","核心词汇","arbitrary","[ˈɑːbɪtrəri] adj. 任意的，武断的","arbit (判断) -> 全凭个人判断的"
"2026-03-26","英语","核心词汇","arrogant","[ˈærəɡənt] adj. 傲慢的，自大的","ar(加强) + rog(要求) -> 一味强求"
"2026-03-26","英语","核心词汇","articulate","[ɑːˈtɪkjuleɪt] v. 明确表达 / adj. 善于表达的","articul(关节) -> 时刻清晰"
"2026-03-26","英语","核心词汇","ascend","[əˈsend] v. 上升，攀登","a(向上) + scend(爬)"
"2026-03-26","英语","核心词汇","ascribe","[əˈskraɪb] v. 把...归因于","ascribe A to B (把A归因为B)"
"2026-03-26","英语","核心词汇","assert","[əˈsɜːt] v. 断言，主张","as + sert(加入) -> 强行加入观点"
"2026-03-26","英语","核心词汇","asset","[ˈæset] n. 资产，有价值的人/物","digital asset (数字资产)"
"2026-03-26","英语","核心词汇","assimilate","[əˈsɪməleɪt] v. 吸收(知识)，同化","as + simil(相同) -> 使变相同 -> 同化"
"2026-03-26","英语","核心词汇","authentic","[ɔːˈθentɪk] adj. 真正的，真实的，可靠的","authentic signature (真实的签名)"
"2026-03-26","英语","核心词汇","autonomous","[ɔːˈtɒnəməs] adj. 自治的，自主的","auto(自己) + nom(法则) -> 自己的法则"
"2026-03-26","英语","核心词汇","barrier","[ˈbæriə(r)] n. 障碍物，屏障","cultural barrier (文化障碍)"
"2026-03-26","英语","核心词汇","barren","[ˈbærən] adj. 贫瘠的，不生育的","barren land (贫瘠的土地)"
"2026-03-26","英语","核心词汇","betray","[bɪˈtreɪ] v. 背叛，出卖；暴露","betray one's country (叛国)"
"2026-03-26","英语","核心词汇","bewilder","[bɪˈwɪldə(r)] v. 使迷惑，使糊涂","be + wild(狂乱) -> 使狂乱迷惑"
"2026-03-26","英语","核心词汇","boycott","[ˈbɔɪkɒt] v./n. 联合抵制，拒绝购买","boycott foreign goods (抵制洋货)"
"2026-03-26","408","数据结构","栈(Stack)和队列(Queue)最本质的访问区别？","栈是LIFO(后进先出)，用于函数栈/表达式求值；队列是FIFO(先进先出)，用于树的层序遍历。","LIFO vs FIFO"
"2026-03-26","408","数据结构","循环队列中，如何判断队空和队满？(牺牲一个单元法)","队空：front == rear。队满：(rear+1)%MaxSize == front。队列长度：(rear-front+MaxSize)%MaxSize。","必考循环队列判定"
"2026-03-26","408","数据结构","n个不同元素进栈，能产生多少种不同的出栈序列？","卡特兰数（Catalan Number）：1/(n+1) * C(2n, n) 种序列。","纯数学推导公式死记"
"2026-03-26","八股文","计算机网络","TCP 是如何保证可靠传输的？（四大机制）","1.检验和。2.序列号与ACK。3.超时重传。4.流量控制与拥塞控制。","面试绝对高频点"
"2026-03-26","八股文","计算机网络","为什么 TCP 建立连接是三次握手，而不是两次？","防止已失效的请求包突然又传到服务器。如果仅两次，服务器以为建连成功直接分配死锁资源，导致资源浪费。","防历史连接引发混乱"
"2026-03-26","八股文","计算机网络","为什么 TCP 断开连接需要四次挥手？","TCP是全双工通信！A发FIN只代表A不发了，但B可能还有未发完的数据，B先回ACK，发完再发自己的FIN，A最后回ACK。","半关闭状态是核心"
"2026-03-27","英语","核心词汇","calculate","[ˈkælkjuleɪt] v. 计算，推测","calc(石头) -> 丢石头计数"
"2026-03-27","英语","核心词汇","capable","[ˈkeɪpəbl] adj. 有能力的","be capable of doing sth"
"2026-03-27","英语","核心词汇","catalyst","[ˈkætəlɪst] n. 催化剂，促使变化的人/物","act as a catalyst (充当催化剂)"
"2026-03-27","英语","核心词汇","category","[ˈkætəɡəri] n. 种类，类别，范畴","fall into the category"
"2026-03-27","英语","核心词汇","cautious","[ˈkɔːʃəs] adj. 谨慎的，小心的","take a cautious approach"
"2026-03-27","英语","核心词汇","cease","[siːs] v. 停止，终止","cease to exist (不复存在)"
"2026-03-27","英语","核心词汇","chronic","[ˈkrɒnɪk] adj. 慢性的，长期的","chron(时间) -> 长时间的 -> 慢性的"
"2026-03-27","英语","核心词汇","circulate","[ˈsɜːkjəleɪt] v. 循环，流通，传播","blood circulates (血液循环)"
"2026-03-27","英语","核心词汇","cognitive","[ˈkɒɡnətɪv] adj. 认知的","cogn(认识) -> cognitive"
"2026-03-27","英语","核心词汇","coherent","[kəʊˈhɪərənt] adj. 连贯的，条理清楚的","a coherent paragraph (连贯的段落)"
"2026-03-27","英语","核心词汇","collide","[kəˈlaɪd] v. 碰撞，冲突","col(共同) + lide(打) -> 互打"
"2026-03-27","英语","核心词汇","compel","[kəmˈpel] v. 强迫，迫使","com + pel(推) -> 逼迫推着走"
"2026-03-27","英语","核心词汇","compensate","[ˈkɒmpenseɪt] v. 补偿，弥补","compensate for the loss"
"2026-03-27","英语","核心词汇","comprehensive","[ˌkɒmprɪˈhensɪv] adj. 综合的，全面的","a comprehensive review (全面的复习)"
"2026-03-27","英语","核心词汇","compromise","[ˈkɒmprəmaɪz] v./n. 妥协，折中","reach a compromise (达成妥协)"
"2026-03-27","英语","核心词汇","conceal","[kənˈsiːl] v. 隐藏，隐瞒","conceal the truth (隐瞒真相)"
"2026-03-27","英语","核心词汇","concede","[kənˈsiːd] v. 承认(失败)，让步","con + cede(走/让位)"
"2026-03-27","英语","核心词汇","consecutive","[kənˈsekjətɪv] adj. 连续的","three consecutive days (连续三天)"
"2026-03-27","英语","核心词汇","consensus","[kənˈsensəs] n. 共识，一致意见","reach a consensus"
"2026-03-27","英语","核心词汇","conservative","[kənˈsɜːvətɪv] adj. 保守的 / n. 保守派","conserve (保护) 的衍生词"
"2026-03-27","408","数据结构","深度为 k 的二叉树，最多和最少有多少个节点？","最多：2^k - 1 个（满二叉树）；最少：k个（高度为k的斜树）。","边界考点"
"2026-03-27","408","数据结构","完全二叉树节点从1开始编号，节点i的左右孩子和父节点编号是多少？","左孩子: 2i；右孩子: 2i+1；父节点: 向下取整(i/2)。","完全二叉树天然适合数组"
"2026-03-27","408","数据结构","n个顶点的无向连通图，至少有多少条边？","一般为n-1条(树)。若要求“无论怎么连必连通”，则是 (n-1)(n-2)/2 + 1 条边。","连通判定陷阱大题"
"2026-03-27","八股文","操作系统","多进程与多线程在执行时有什么区别与优劣？","多进程：内存隔离，数据互不干扰，一崩全不崩，极稳定但切换开销大。多线程：共享内存，切换极快开销小，但一崩全崩。","常考应用场景选择"
"2026-03-27","八股文","操作系统","死锁的四大必要条件是什么？怎么避免？","1.互斥2.请求并保持3.不剥夺4.循环等待。避免法：通过银行家算法在每次分配资源前检测安全性。","银行家算法"
"2026-03-27","八股文","操作系统","进程之间想要传递数据(通信)，常见方式有哪些？","1.管道Pipe; 2.消息队列MQ; 3.共享内存(最快); 4.信号量Semaphore; 5.套接字Socket。","IPC 五大法宝"
"2026-03-28","英语","核心词汇","deduce","[dɪˈdjuːs] v. 推论，推断","de(向下) + duce(引导) -> 往下引申结果"
"2026-03-28","英语","核心词汇","deprive","[dɪˈpraɪv] v. 剥夺，使丧失","deprive sb of sth"
"2026-03-28","英语","核心词汇","deteriorate","[dɪˈtɪəriəreɪt] v. 恶化，变坏","health deteriorates (健康恶化)"
"2026-03-28","英语","核心词汇","dilemma","[dɪˈlemə] n. 进退两难的困境","in a dilemma (处于两难境地)"
"2026-03-28","英语","核心词汇","diminish","[dɪˈmɪnɪʃ] v. 减少，削弱","diminish the impact (削弱影响)"
"2026-03-28","英语","核心词汇","empirical","[ɪmˈpɪrɪkl] adj. 经验主义的，实证的","empirical study (实证探究/论文常用词)"
"2026-03-28","英语","核心词汇","endow","[ɪnˈdaʊ] v. 赋予，资助","be endowed with (天生具备...)"
"2026-03-28","英语","核心词汇","evaluate","[ɪˈvæljueɪt] v. 评估，评价","e(出) + value(价值) -> 评估价值"
"2026-03-28","英语","核心词汇","explicit","[ɪkˈsplɪsɪt] adj. 明确的，直言的","ex(出) + plic(折叠) -> 摊开来说 -> 明确的"
"2026-03-28","英语","核心词汇","extinguish","[ɪkˈstɪŋɡwɪʃ] v. 熄灭，消灭","extinguish the fire (灭火)"
"2026-03-28","408","计组","Cache (高速缓存) 的作用和内部映射方式？","作用：基于局部性原理，缓解CPU与主存速度矛盾。映射：全相联、直接映射、组相联。","Cache层级结构极其重要"
"2026-03-28","408","计组","CISC 与 RISC 的核心区别点是什么？","CISC(复杂指令集)：指令多长短不一，如x86。RISC(精简指令集)：只保留高频简单指令，非常利于流水线，如ARM。","指令集大比拼"
"2026-03-28","八股文","数据库","在“可重复读(RR)”下，MySQL如何避免幻读现象？","通过 MVCC 解决普通SELECT幻读(快照读)。通过间隙锁(Gap Lock) + 行锁解决当前读(FOR UPDATE)的幻读。","InnoDB引擎神级考点"
"2026-03-28","八股文","数据库","MySQL宕机后是如何保证数据不丢失的？","1. Undo Log：记录修改前数据(原子性回滚)。2. Redo Log：物理日志，记录数据页修改，宕机可根据它重做(持久性)。","WAL技术：先写日志再写盘"
"2026-03-29","复盘","每周总结","今日没有新背诵任务，完成本周前四天的自测！","检查英语A-E字母群，408数据结构/计组，网络/操作系统架构是否仍存在遗忘盲区。","温故而知新"
